Adaptability,Sensitivity,Precision,Is parent circuit,Circuit idx,Species,Step,Params energy,Params equilibrium constants,Params rates
834.0068969726562,0.36655193567276,14391655.0,True,1627,RNA_2,16,"[-0.6703937649726868, -0.8651988506317139, -11.825796127319336, -3.4215140342712402, -24.9941463470459, -23.359344482421875]","[2.867693865482579e-06, 3.3513133530505e-06, 0.021543515846133232, 2.590418080217205e-05, 809.9723510742188, 219.01905822753906]","[526.4093627929688, 450.444580078125, 0.07007124274969101, 58.275577545166016, 1.8637439325175365e-06, 6.892464170960011e-06]"
833.1827392578125,0.36378204822540283,4063727.25,True,1718,RNA_2,17,"[-0.6461842060089111, -0.6556981801986694, -11.761360168457031, -2.1673665046691895, -22.74781608581543, -24.08482551574707]","[2.8126876259193523e-06, 2.834176029864466e-06, 0.020461110398173332, 9.498045983491465e-06, 134.2810821533203, 391.3267822265625]","[536.7041015625, 532.6348876953125, 0.07377805560827255, 158.9359588623047, 1.124194841395365e-05, 3.857596766465576e-06]"
832.4500732421875,0.36309993267059326,1902002.75,True,1551,RNA_2,15,"[-0.2916331887245178, -1.2521716356277466, -11.741012573242188, -1.429811954498291, -22.581066131591797, -23.74587059020996]","[2.1180590010771994e-06, 4.567336873151362e-06, 0.020130740478634834, 5.264794253889704e-06, 117.51140594482422, 298.38336181640625]","[712.7190551757812, 330.51666259765625, 0.07498884201049805, 286.73126220703125, 1.2846250683651306e-05, 5.0591997933224775e-06]"
832.395751953125,0.35380658507347107,3015779.75,True,1369,RNA_2,13,"[-0.7438141703605652, -0.9114807844161987, -11.519932746887207, -1.2670183181762695, -23.004743576049805, -24.9941463470459]","[3.0411765692406334e-06, 3.4777231121552177e-06, 0.016867421567440033, 4.621909283741843e-06, 164.92286682128906, 809.9723510742188]","[496.380615234375, 434.0716552734375, 0.08949684351682663, 326.6141357421875, 9.153254723059945e-06, 1.8637439325175365e-06]"
832.3017578125,0.38713303208351135,635779.375,True,671,RNA_2,6,"[-0.651785671710968, -12.02252197265625, -11.17685604095459, -24.9941463470459, -18.562992095947266, -19.333829879760742]","[2.825320279953303e-06, 0.02521541342139244, 0.012818927876651287, 809.9723510742188, 4.7212629318237305, 8.747312545776367]","[534.3043823242188, 0.059867389500141144, 0.11776187270879745, 1.8637439325175365e-06, 0.00031974093872122467, 0.000172576546901837]"
832.2122192382812,0.3693985342979431,1159407.75,True,1293,RNA_2,12,"[-0.9035243391990662, -0.951898455619812, -11.91308879852295, -1.375228762626648, -23.153554916381836, -24.6870059967041]","[3.4556567243271274e-06, 3.59201089850103e-06, 0.023101765662431717, 5.0398498387949076e-06, 185.77325439453125, 633.5176391601562]","[436.84344482421875, 420.2607116699219, 0.06534483283758163, 299.5289611816406, 8.12593316368293e-06, 2.382855655014282e-06]"
832.1780395507812,0.3595195710659027,1765779.5,True,1422,RNA_2,14,"[-0.2833828628063202, -1.228995680809021, -11.65355110168457, -1.594233512878418, -23.528831481933594, -24.706092834472656]","[2.10412395063031e-06, 4.483434622670757e-06, 0.018770355731248856, 6.004925126035232e-06, 250.82321166992188, 643.2651977539062]","[717.439208984375, 336.701904296875, 0.08042367547750473, 251.39047241210938, 6.0185057009221055e-06, 2.346747351111844e-06]"
831.915771484375,0.3682112693786621,965849.4375,True,1655,RNA_2,16,"[-0.9358639717102051, -0.733168363571167, -11.88260269165039, -1.1814491748809814, -22.792543411254883, -24.9941463470459]","[3.546225343598053e-06, 3.0153869374771602e-06, 0.02254515327513218, 4.316099420975661e-06, 139.17291259765625, 809.9723510742188]","[425.68670654296875, 500.6259765625, 0.06695811450481415, 349.7558288574219, 1.084680206986377e-05, 1.8637439325175365e-06]"
831.6957397460938,0.35085761547088623,1751526.5,True,1898,RNA_2,18,"[-0.6315923929214478, -0.7718314528465271, -11.446488380432129, -3.870652198791504, -24.9941463470459, -24.9941463470459]","[2.780045861072722e-06, 3.1101101285457844e-06, 0.015904920175671577, 3.710363671416417e-05, 809.9723510742188, 809.9723510742188]","[543.0057983398438, 485.3786315917969, 0.09491283446550369, 40.685523986816406, 1.8637439325175365e-06, 1.8637439325175365e-06]"
831.5391845703125,0.3344329297542572,4017170.0,True,1650,RNA_2,16,"[-0.8854568600654602, -0.6256574392318726, -11.114642143249512, -3.2926270961761475, -22.552751541137695, -24.9941463470459]","[3.4060681173286866e-06, 2.7668752409226727e-06, 0.01219653245061636, 2.336630495847203e-05, 114.87948608398438, 809.9723510742188]","[443.2033996582031, 545.590576171875, 0.12377132475376129, 64.60503387451172, 1.3140561350155622e-05, 1.8637439325175365e-06]"
831.45849609375,0.33525350689888,3426892.5,True,1494,RNA_2,14,"[-0.7287550568580627, -0.7499048709869385, -11.12649154663086, -2.702526807785034, -24.9941463470459, -24.9941463470459]","[3.0047583550185664e-06, 3.056030436709989e-06, 0.012312699109315872, 1.457364487578161e-05, 809.9723510742188, 809.9723510742188]","[502.3968200683594, 493.9679260253906, 0.12260357290506363, 103.58293914794922, 1.8637439325175365e-06, 1.8637439325175365e-06]"
831.1956176757812,0.36037659645080566,772563.125,True,1553,RNA_2,15,"[-0.7425209879875183, -0.7477613687515259, -11.67830753326416, -4.187351703643799, -23.52877426147461, -24.9941463470459]","[3.03803267343028e-06, 3.0507960673276102e-06, 0.01914580911397934, 4.780232848133892e-05, 250.81173706054688, 809.9723510742188]","[496.8942565917969, 494.8153991699219, 0.07884655147790909, 31.579652786254883, 6.018781277816743e-06, 1.8637439325175365e-06]"
831.0309448242188,0.3643575608730316,595340.9375,True,1460,RNA_2,14,"[-0.418782502412796, -0.8752031326293945, -11.77021312713623, -3.425804615020752, -24.9941463470459, -24.9941463470459]","[2.3448442334483843e-06, 3.3782425816752948e-06, 0.02060653641819954, 2.599324579932727e-05, 809.9723510742188, 809.9723510742188]","[643.787353515625, 446.85394287109375, 0.07325738668441772, 58.07589340209961, 1.8637439325175365e-06, 1.8637439325175365e-06]"
830.9620971679688,0.35262441635131836,886138.375,True,978,RNA_2,9,"[-0.3790799081325531, -1.3727633953094482, -11.487040519714355, -3.3844153881073, -23.178997039794922, -24.9941463470459]","[2.271537368869758e-06, 5.0299195208936e-06, 0.016429364681243896, 2.51466735790018e-05, 189.5930938720703, 809.9723510742188]","[664.5635986328125, 300.12030029296875, 0.0918831005692482, 60.03104019165039, 7.962215022416785e-06, 1.8637439325175365e-06]"
830.681884765625,0.36718323826789856,432320.25,True,1602,RNA_2,16,"[-0.563130795955658, -1.0183806419372559, -11.846035957336426, -2.1541686058044434, -24.323623657226562, -24.9941463470459]","[2.631877350722789e-06, 3.78822687707725e-06, 0.021895183250308037, 9.398291695106309e-06, 473.7037658691406, 809.9723510742188]","[573.5757446289062, 398.4927673339844, 0.06894580274820328, 160.62290954589844, 3.1867616598901805e-06, 1.8637439325175365e-06]"
830.6751708984375,0.37482011318206787,338918.21875,True,963,RNA_2,9,"[-0.6886435747146606, -2.046396255493164, -12.065464973449707, -2.502807855606079, -24.859098434448242, -24.9941463470459]","[2.9098687264195178e-06, 8.621939741715323e-06, 0.026096727699041367, 1.2421627616276965e-05, 727.0252075195312, 809.9723510742188]","[518.77978515625, 175.08599853515625, 0.05784560739994049, 121.5284423828125, 2.076380496873753e-06, 1.8637439325175365e-06]"
830.47900390625,0.36157214641571045,458804.71875,True,1642,RNA_2,16,"[-0.26737335324287415, -1.0581353902816772, -11.701868057250977, -2.2553389072418213, -24.9941463470459, -24.9941463470459]","[2.077346380247036e-06, 3.910640771209728e-06, 0.01951010152697563, 1.0190581633651163e-05, 809.9723510742188, 809.9723510742188]","[726.6871948242188, 386.01885986328125, 0.07737433165311813, 148.13491821289062, 1.8637439325175365e-06, 1.8637439325175365e-06]"
830.4776611328125,0.3663778305053711,391679.96875,True,694,RNA_2,6,"[-0.8699086904525757, -1.4832658767700195, -11.832993507385254, -2.8968758583068848, -23.669395446777344, -24.9941463470459]","[3.3639632874837844e-06, 5.494820015883306e-06, 0.02166791632771492, 1.7025186025421135e-05, 280.67547607421875, 809.9723510742188]","[448.750732421875, 274.72802734375, 0.06966894865036011, 88.66751861572266, 5.378386049414985e-06, 1.8637439325175365e-06]"
830.3438720703125,0.3598339557647705,447023.40625,True,1243,RNA_2,12,"[-0.9373731017112732, -0.8945119976997375, -11.672816276550293, -1.3945084810256958, -23.022756576538086, -24.9941463470459]","[3.5505113373801578e-06, 3.4308316116948845e-06, 0.01906188577413559, 5.118185526953312e-06, 167.31661987304688, 809.9723510742188]","[425.1728210449219, 440.0044250488281, 0.07919368892908096, 294.9445495605469, 9.022302037919872e-06, 1.8637439325175365e-06]"
830.248046875,0.3419416546821594,813851.5625,True,1820,RNA_2,18,"[-0.6401406526565552, -0.796122670173645, -11.255826950073242, -3.632791042327881, -24.9941463470459, -24.9941463470459]","[2.79912046607933e-06, 3.1711401788925286e-06, 0.013654913753271103, 3.0674324079882354e-05, 809.9723510742188, 809.9723510742188]","[539.3054809570312, 476.0373229980469, 0.11055222153663635, 49.21317672729492, 1.8637439325175365e-06, 1.8637439325175365e-06]"
830.1901245117188,0.35853418707847595,424507.03125,True,1656,RNA_2,16,"[-0.32075437903404236, -0.8550939559936523, -11.627653121948242, -1.9413986206054688, -23.862789154052734, -24.9941463470459]","[2.1679811652575154e-06, 3.324329554743599e-06, 0.01838546432554722, 7.927294973342214e-06, 327.6396789550781, 809.9723510742188]","[696.3072509765625, 454.10089111328125, 0.0821073055267334, 190.4282684326172, 4.607442406268092e-06, 1.8637439325175365e-06]"
830.1090698242188,0.36319220066070557,347836.6875,True,1672,RNA_2,16,"[-1.1200612783432007, -0.9193160533905029, -11.75683879852295, -1.0922694206237793, -23.236217498779297, -24.28566551208496]","[4.109254859940847e-06, 3.499592139633023e-06, 0.020387234166264534, 4.018903837277321e-06, 198.4737091064453, 459.5350341796875]","[367.36126708984375, 431.359130859375, 0.07404540479183197, 375.6200866699219, 7.6059495768276975e-06, 3.285018465248868e-06]"
830.0701293945312,0.3680483400821686,293173.21875,True,1458,RNA_2,14,"[-0.7947850227355957, -0.8962969779968262, -11.872383117675781, -1.9203040599822998, -24.9941463470459, -24.9941463470459]","[3.1677473089075647e-06, 3.4357351523794932e-06, 0.02236158400774002, 7.794642442604527e-06, 809.9723510742188, 809.9723510742188]","[476.54718017578125, 439.3764343261719, 0.0675077810883522, 193.66905212402344, 1.8637439325175365e-06, 1.8637439325175365e-06]"
830.048828125,0.3358262777328491,910204.1875,True,1957,RNA_2,19,"[-0.534327507019043, -0.8553590178489685, -11.135420799255371, -3.455730676651001, -22.56111717224121, -23.783687591552734]","[2.5719266432133736e-06, 3.325034867884824e-06, 0.012400968000292778, 2.6623045414453372e-05, 115.65093231201172, 307.5484313964844]","[586.945556640625, 454.0045471191406, 0.12173089385032654, 56.7020378112793, 1.3052908798272256e-05, 4.90843331135693e-06]"
830.0430297851562,0.33983567357063293,765758.0,True,1471,RNA_2,14,"[-0.5190830230712891, -0.7913897037506104, -11.213006973266602, -1.5667120218276978, -24.9941463470459, -24.9941463470459]","[2.540750983826001e-06, 3.159155312459916e-06, 0.01319507323205471, 5.874159342056373e-06, 809.9723510742188, 809.9723510742188]","[594.1475219726562, 477.8432312011719, 0.11440490186214447, 256.9867248535156, 1.8637439325175365e-06, 1.8637439325175365e-06]"
830.01904296875,0.31750959157943726,2267011.0,True,1498,RNA_2,14,"[-0.6306400299072266, -0.5460130572319031, -10.807887077331543, -2.7620058059692383, -22.99375343322754, -24.9941463470459]","[2.777927193164942e-06, 2.5960816856240854e-06, 0.009542424231767654, 1.5283867469406687e-05, 163.47923278808594, 809.9723510742188]","[543.4199829101562, 581.4844360351562, 0.1581968069076538, 98.76956939697266, 9.23408424569061e-06, 1.8637439325175365e-06]"
829.9776611328125,0.3544783592224121,426696.125,True,1554,RNA_2,15,"[-0.5189539194107056, -0.9057031273841858, -11.529701232910156, -3.328674077987671, -24.9941463470459, -24.9941463470459]","[2.540489276725566e-06, 3.4616864468262065e-06, 0.016999753192067146, 2.4049944840953685e-05, 809.9723510742188, 809.9723510742188]","[594.2088012695312, 436.08251953125, 0.08880016952753067, 62.768585205078125, 1.8637439325175365e-06, 1.8637439325175365e-06]"
829.929931640625,0.3579707443714142,369416.1875,True,1585,RNA_2,15,"[-0.3673853874206543, -1.1171021461486816, -11.616175651550293, -0.9835015535354614, -23.00181770324707, -24.9941463470459]","[2.2503859327116515e-06, 4.099537818547105e-06, 0.01821742206811905, 3.6839810491073877e-06, 164.5371856689453, 809.9723510742188]","[670.809814453125, 368.23199462890625, 0.0828646868467331, 409.7689208984375, 9.174709703074768e-06, 1.8637439325175365e-06]"
829.8925170898438,0.334269255399704,866815.1875,True,1843,RNA_2,18,"[-0.5022737979888916, -0.7042514085769653, -11.105889320373535, -2.761051893234253, -23.28499984741211, -24.9941463470459]","[2.506812052160967e-06, 2.946429049188737e-06, 0.012111426331102848, 1.527221320429817e-05, 206.3725128173828, 809.9723510742188]","[602.1915283203125, 512.342529296875, 0.1246410608291626, 98.84494018554688, 7.314835784200113e-06, 1.8637439325175365e-06]"
829.6245727539062,0.3688693344593048,224020.140625,True,1292,RNA_2,12,"[-0.5094711780548096, -1.0827152729034424, -11.892356872558594, -2.5535614490509033, -22.786563873291016, -24.9941463470459]","[2.5212877972080605e-06, 3.988299795310013e-06, 0.02272176742553711, 1.2936363418702967e-05, 138.5087432861328, 809.9723510742188]","[598.734130859375, 378.50238037109375, 0.06643766164779663, 116.69284057617188, 1.0898813343374059e-05, 1.8637439325175365e-06]"
829.5315551757812,0.36914873123168945,211532.84375,True,1633,RNA_2,16,"[-0.7789576649665833, -0.8205077648162842, -11.893994331359863, -5.557515621185303, -22.909372329711914, -24.9941463470459]","[3.1278905225917697e-06, 3.233611323594232e-06, 0.02275155298411846, 0.00014305164222605526, 152.8078155517578, 809.9723510742188]","[482.6195068359375, 466.8406066894531, 0.06635068356990814, 10.552699089050293, 9.878951459540986e-06, 1.8637439325175365e-06]"
